course_code,course_title,program,year_level,term,course_type,units,hours_per_week
CIENTARL,ENTERPRISE ARCHITECTURE,BSIS,2,2,Lecture,4,2.67
CIENTARL,ENTERPRISE ARCHITECTURE,BSIS,2,2,Lab,4,4
CCSPEL2X,SPORTS ELECTIVE 2 ( E- GAMES DESIGN II ),BSIS,2,2,Lecture,3,2
CCSPEL2X,SPORTS ELECTIVE 2 ( E- GAMES DESIGN II ),BSIS,2,2,Lab,3,2
CCQUAMET,QUANTITATIVE METHODS,BSIS,2,2,Lecture,2,2.67
CCQUAMET,QUANTITATIVE METHODS,BSIS,2,2,Lab,2,4
BUPRDEMA,BUSINESS PROCESS MANAGEMENT,BSIS,2,2,Lecture,4,4
ITINNETE,I.T. INFRASTRUCTURE AND NETWORK TECHNOLOGIES,BSIS,2,3,Lecture,4,2.67
ITINNETE,I.T. INFRASTRUCTURE AND NETWORK TECHNOLOGIES,BSIS,2,3,Lab,4,4
CCDATSYL,DATABASE SYSTEMS,BSIS,2,3,Lecture,3,2.67
CCDATSYL,DATABASE SYSTEMS,BSIS,2,3,Lab,3,4
# BSIS Courses - Year 3,,,,,,,
BAFINMAX,FINANCIAL MANAGEMENT,BSIS,3,1,Lecture,4,4
CIEVBUPE,EVALUATION OF BUSINESS PERFORMANCE,BSIS,3,1,Lecture,4,4
CIMUCOGL,MULTIMEDIA AND COMPUTER GRAPHICS,BSIS,3,1,Lecture,4,2.67
CIMUCOGL,MULTIMEDIA AND COMPUTER GRAPHICS,BSIS,3,1,Lab,4,4
CIWEBPRL,WEB PROGRAMMING,BSIS,3,1,Lecture,3,2.67
CIWEBPRL,WEB PROGRAMMING,BSIS,3,1,Lab,3,4
CISECDEL,E-COMMERCE AND DIGITAL ENTREPRENEURSHIP,BSIS,3,2,Lecture,3,4
CTSYSADL,SYSTEMS ANALYSIS AND DESIGN,BSIS,3,2,Lecture,3,2.67
CTSYSADL,SYSTEMS ANALYSIS AND DESIGN,BSIS,3,2,Lab,3,4
CISPRMAL,I.S. PROJECT MANAGEMENT,BSIS,3,2,Lecture,4,2.67
CISPRMAL,I.S. PROJECT MANAGEMENT,BSIS,3,2,Lab,4,4
CISELE1L,I.S. ELECTIVE 1,BSIS,3,2,Lecture,4,2.67
CISELE1L,I.S. ELECTIVE 1,BSIS,3,2,Lab,4,4
CTAPDEVL,APPLICATION DEVELOPMENT AND EMERGING TECHNOLOGY,BSIS,3,3,Lecture,3,2.67
CTAPDEVL,APPLICATION DEVELOPMENT AND EMERGING TECHNOLOGY,BSIS,3,3,Lab,3,4
CCSFEN1L,SOFTWARE ENGINEERING 1,BSIS,3,3,Lecture,3,2.67
CCSFEN1L,SOFTWARE ENGINEERING 1,BSIS,3,3,Lab,3,4
CISELE2L,I.S. ELECTIVE 2,BSIS,3,3,Lecture,6,2.67
CISELE2L,I.S. ELECTIVE 2,BSIS,3,3,Lab,6,4
# BSIS Courses - Year 4,,,,,,,
CAPROJ1L,CAPSTONE PROJECT 1,BSIS,4,1,Lecture,6,2.67
CAPROJ1L,CAPSTONE PROJECT 1,BSIS,4,1,Lab,6,4
ISSTMAAC,I.S. STRATEGY MANAGEMENT AND ACQUISITION,BSIS,4,1,Lecture,3,2.67
ISSTMAAC,I.S. STRATEGY MANAGEMENT AND ACQUISITION,BSIS,4,1,Lab,3,4
CISELE3L,I.S. ELECTIVE 3,BSIS,4,1,Lecture,3,2.67
CISELE3L,I.S. ELECTIVE 3,BSIS,4,1,Lab,3,4
CCISINTX,INTERNSHIP (486 HRS),BSIS,4,2,Lecture,3,4
CAPROJ2L,CAPSTONE PROJECT 2,BSIS,4,3,Lecture,3,2.67
CAPROJ2L,CAPSTONE PROJECT 2,BSIS,4,3,Lab,3,4
PRISINSY,PROFESSIONAL ISSUES IN INFORMATION SYSTEMS,BSIS,4,3,Lecture,3,4
CISELE4L,I.S. ELECTIVE 4,BSIS,4,3,Lecture,6,2.67
CISELE4L,I.S. ELECTIVE 4,BSIS,4,3,Lab,6,4
